"retailer","store_number","location_id","name","address","address_2","city","state","zip_code","latitude","longitude","phone","active","store_status","web_active","physical_grocery_store","pickup_point_type","price_zone","tax_group","source_query_zip","source_url","source_method","retrieved_at_utc"
"Food Lion","","https://stores.foodlion.com/de/bear/1607-pulaski-hwy","Food Lion Grocery Store of Bear","1607 Pulaski Hwy","","Bear","DE","19701","39.62069353187464","-75.69216907024389","(302) 836-6071","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/bear/1607-pulaski-hwy","official_store_directory","2026-07-31T20:21:18.5512413Z"
"Food Lion","","https://stores.foodlion.com/de/bridgeville/9537-bridgeville-center","Food Lion Grocery Store of Bridgeville","9537 Bridgeville Center","","Bridgeville","DE","19933","38.71910996363883","-75.58504700660706","(302) 337-9239","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/bridgeville/9537-bridgeville-center","official_store_directory","2026-07-31T20:21:19.9252201Z"
"Food Lion","","https://stores.foodlion.com/de/claymont/3609-philadelphia-pike","Food Lion Grocery Store of Claymont","3609 Philadelphia Pike","","Claymont","DE","19703","39.804553093271906","-75.45605421066284","(302) 798-3079","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/claymont/3609-philadelphia-pike","official_store_directory","2026-07-31T20:21:21.4037160Z"
"Food Lion","","https://stores.foodlion.com/de/delmar/38650-sussex-hwy","Food Lion Grocery Store of Delmar","38650 Sussex Hwy","","Delmar","DE","19940","38.45812060809796","-75.55977878944157","(302) 846-2701","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/delmar/38650-sussex-hwy","official_store_directory","2026-07-31T20:21:22.7411181Z"
"Food Lion","","https://stores.foodlion.com/de/dover/1030-forest-ave","Food Lion Grocery Store of Dover","1030 Forest Ave","","Dover","DE","19904","39.156417400745376","-75.54419077882687","(302) 674-2921","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/dover/1030-forest-ave","official_store_directory","2026-07-31T20:21:24.2769300Z"
"Food Lion","","https://stores.foodlion.com/de/dover/250-gateway-south-blvd","Food Lion Grocery Store of Gateway South","250 Gateway South Blvd","","Dover","DE","19901","39.12403655815161","-75.49752652645111","(302) 698-1445","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/dover/250-gateway-south-blvd","official_store_directory","2026-07-31T20:21:25.6679844Z"
"Food Lion","","https://stores.foodlion.com/de/harrington/2004-midway-drive","Food Lion Grocery Store of Harrington","2004 Midway Drive","","Harrington","DE","19952","38.9257924455135","-75.56455224752426","(302) 398-7884","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/harrington/2004-midway-drive","official_store_directory","2026-07-31T20:21:27.0060126Z"
"Food Lion","","https://stores.foodlion.com/de/laurel/30214-sussex-hwy","Food Lion Grocery Store of Laurel","30214 Sussex Hwy","","Laurel","DE","19956","38.57322244790083","-75.56646198034286","(302) 875-7630","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/laurel/30214-sussex-hwy","official_store_directory","2026-07-31T20:21:28.4663908Z"
"Food Lion","","https://stores.foodlion.com/de/milford/951-north-dupont-blvd","Food Lion Grocery Store of Milford","951 North Dupont Blvd","","Milford","DE","19963","38.93157641003293","-75.43261706829071","(302) 424-0462","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/milford/951-north-dupont-blvd","official_store_directory","2026-07-31T20:21:30.8371070Z"
"Food Lion","","https://stores.foodlion.com/de/milton/110-broadkill-road","Food Lion Grocery Store of Milton","110 Broadkill Road","","Milton","DE","19968","38.79000325229789","-75.31479835510254","(302) 684-5880","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/milton/110-broadkill-road","official_store_directory","2026-07-31T20:21:33.1304553Z"
"Food Lion","","https://stores.foodlion.com/de/new-castle/1200-beaver-brook-place","Food Lion Grocery Store of New Castle","1200 Beaver Brook Place","","New Castle","DE","19720","39.64123538228593","-75.62398731708527","(302) 325-9158","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/new-castle/1200-beaver-brook-place","official_store_directory","2026-07-31T20:21:37.5728383Z"
"Food Lion","","https://stores.foodlion.com/de/newark/401-new-london-road","Food Lion Grocery Store of Fairfield Shopping Center","401 New London Road","","Newark","DE","19711","39.6939095","-75.7648569","(302) 266-8220","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/newark/401-new-london-road","official_store_directory","2026-07-31T20:21:34.5720589Z"
"Food Lion","","https://stores.foodlion.com/de/newark/907-south-chapel-street","Food Lion Grocery Store of Newark","907 South Chapel Street","","Newark","DE","19713","39.65999535365148","-75.73714971542358","(302) 368-5342","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/newark/907-south-chapel-street","official_store_directory","2026-07-31T20:21:36.0463631Z"
"Food Lion","","https://stores.foodlion.com/de/seaford/22954-sussex-hwy","Food Lion Grocery Store of Seaford","22954 Sussex Hwy","","Seaford","DE","19973","38.65944680617607","-75.59682190418243","(302) 629-6714","True","ACTIVE","True","True","","","","","https://stores.foodlion.com/de/seaford/22954-sussex-hwy","official_store_directory","2026-07-31T20:21:39.1488948Z"
